,Modeled_Diameter,Age,Tree_Density,Temperature,Aridity,Modeled_Biomass,Lat,Long
171,5.054045029,40,2000,18.5042,1.0392,8157.898375,3442585.497,-58858.70751
172,5.011218484,40,2000,18.5832996,1.0373,7981.37392,3442585.497,-57951.38634
173,4.983776812,40,2000,18.5792007,1.0371,8035.193053,3442585.497,-57044.06517
174,5.131209366,40,2000,18.5207996,1.0414,8455.98708,3442585.497,-56136.744
175,5.016371748,40,2000,18.5708008,1.0362,7944.832362,3442585.497,-55229.42283
176,5.108600161,40,2000,18.6292,1.027,8409.04303,3442585.497,-54322.10167
177,5.026203117,40,2000,18.6082993,1.0293,8235.893071,3442585.497,-53414.7805
178,5.07780806,40,2000,18.5874996,1.0311,8513.872154,3442585.497,-52507.45933
179,5.08231647,40,2000,18.5792007,1.0239,8437.106029,3442585.497,-51600.13816
180,4.993770601,40,2000,18.6082993,1.0207,8238.176245,3442585.497,-50692.81699
181,5.097470296,40,2000,18.6000004,1.019,8569.062252,3442585.497,-49785.49582
182,5.127677902,40,2000,18.5874996,1.018,8469.919518,3442585.497,-48878.17465
183,5.084030495,40,2000,18.6082993,1.0162,8432.384299,3442585.497,-47970.85348
184,5.142170869,40,2000,18.5291996,1.0189,8594.285399,3442585.497,-41619.6053
185,5.238922039,40,2000,18.5457993,1.0104,9059.134441,3442585.497,-37082.99946
186,5.013888951,40,2000,18.8125,1.0597,8129.743906,3441678.176,-130537.0798
187,5.055963248,40,2000,18.7749996,1.0678,8135.304255,3441678.176,-129629.7587
188,4.915496613,40,2000,18.7082996,1.0728,7681.061176,3441678.176,-128722.4375
189,4.943324174,40,2000,18.6875,1.0736,7849.981273,3441678.176,-127815.1163
190,4.905573851,40,2000,18.7042007,1.0721,7487.034831,3441678.176,-126907.7952
191,5.073726984,40,2000,18.7250004,1.0684,8059.005955,3441678.176,-126000.474
192,4.969931402,40,2000,18.7667007,1.0651,7849.729361,3441678.176,-125093.1528
193,4.961163224,40,2000,18.7707996,1.063,7948.04526,3441678.176,-124185.8317
194,4.975686151,40,2000,18.7833004,1.0623,7764.372431,3441678.176,-118741.9046
195,4.92607264,40,2000,18.8208008,1.0592,7799.632554,3441678.176,-117834.5835
196,5.032387567,40,2000,18.7833004,1.0607,8119.905323,3441678.176,-116019.9411
197,4.868373105,40,2000,18.7625008,1.0638,7605.92697,3441678.176,-108761.3718
198,4.986318933,40,2000,18.7208004,1.0511,8036.821941,3441678.176,-106946.7295
199,5.069806982,40,2000,18.7667007,1.0596,8204.234741,3441678.176,-106039.4083
200,4.947958354,40,2000,18.6875,1.0665,7850.088949,3441678.176,-105132.0871
201,5.068529421,40,2000,18.7917004,1.0543,8218.103575,3441678.176,-103317.4448
202,5.014203477,40,2000,18.875,1.055,8046.903568,3441678.176,-102410.1236
203,4.941527893,40,2000,18.9125004,1.05,7980.871417,3441678.176,-100595.4813
204,5.030857657,40,2000,18.9417,1.0523,8252.88612,3441678.176,-99688.1601
205,4.897928607,40,2000,18.8917007,1.0621,7703.439157,3441678.176,-93336.91192
206,5.027913645,40,2000,18.8083,1.0598,8143.425188,3441678.176,-91522.26959
